vehicle_edge,vehicle_longitude,vehicle_latitude,count
223603540#0,7.779205,45.157244,536
223603540#0,7.784283,45.159792,536
223603540#0,7.788371,45.161804,536
223603540#0,7.778192,45.156732,536
223603540#0,7.787349,45.161301,536
223603540#0,7.789394,45.162307,536
223603540#0,7.79246,45.163816,536
223603540#0,7.795527,45.165325,536
223603540#0,7.800632,45.167846,536
223603540#0,7.796549,45.165828,536
223603540#0,7.783261,45.159289,536
223603540#0,7.775152,45.155197,536
223603540#0,7.791438,45.163313,536
223603540#0,7.772112,45.153662,536
223603540#0,7.793482,45.164319,536
223603540#0,7.776165,45.155709,536
223603540#0,7.794505,45.164822,536
536720409#2,7.616638,44.982948,535
536720409#2,7.615234,44.981656,535
536720409#2,7.618042,44.984239,535
536720409#2,7.615936,44.982302,535
536720409#2,7.61734,44.983594,535
-109147954#6,7.757099,45.039835,532
-109147954#6,7.755271,45.039441,532
-109147954#6,7.760232,45.042391,532
-109147954#6,7.75824,45.039588,532
-109147954#6,7.758974,45.040187,532
-109147954#6,7.755934,45.040022,532
-109147954#6,7.759372,45.041853,532
-109147954#6,7.759242,45.041015,532
-109147954#6,7.761597,45.04355,532
-109147954#6,7.761281,45.04275,532
30250811#2,7.671479,44.979587,531
15215737#3,7.699731,44.980684,525
15215737#3,7.699993,44.979714,525
15215737#3,7.700251,44.978743,525
15215737#3,7.700508,44.977773,525
37110335,7.598268,45.104894,523
37110335,7.599428,45.104704,523
37110335,7.598539,45.105679,523
37977181,7.546948,45.07111,513
-39604703#0,7.6148,44.97679,507
-39604703#0,7.615699,44.975154,507
-39604703#0,7.614346,44.977606,507
-39604703#0,7.613891,44.978423,507
149995554#1,7.547066,45.073385,507
-39604703#0,7.615252,44.975972,507
149995554#1,7.546996,45.072857,507
83524143#0,7.598945,44.995898,500
83524143#0,7.60142,44.995636,500
83524143#0,7.600183,44.995767,500
83524143#0,7.602654,44.995558,500
256067051,7.547739,45.077053,499
256067051,7.547505,45.076291,499
256067051,7.547268,45.075529,499
79941693#9,7.546585,45.07157,497
-69716808,7.563379,45.111492,497
-69716808,7.565537,45.111033,497
-69716808,7.564455,45.111256,497
-69716808,7.562304,45.111729,497
-69716808,7.561234,45.111978,497
536720410,7.620899,44.986853,496
536720410,7.621735,44.987612,496
536720410,7.620063,44.986095,496
28520012,7.547374,45.074128,487
45061254,7.736767,45.146687,487
45061254,7.73613,45.14597,487
28520012,7.54708,45.072818,487
28520012,7.547454,45.073475,487
45061254,7.737623,45.146902,487
28520012,7.546441,45.074177,487
79941693#5,7.54979,45.071689,457
37992354#0,7.701384,44.986056,456
37992354#0,7.700605,44.985623,456
-51444388,7.640569,45.148851,455
-51444388,7.63799,45.149227,455
-51444388,7.641859,45.148663,455
-51444388,7.63928,45.149039,455
-51444388,7.6367,45.149414,455
-51444388,7.643145,45.148463,455
37992352,7.697979,44.984901,449
37992352,7.69879,44.98351,449
37992352,7.698445,44.984226,449
37992352,7.697245,44.985442,449
23367047,7.73671,45.148819,443
38237305#1,7.596111,45.107718,439
38237305#1,7.597096,45.107062,439
38318591#5,7.749491,45.153467,438
38318591#5,7.751648,45.156624,438
38318591#5,7.750026,45.154257,438
38318591#5,7.750561,45.155048,438
38318591#5,7.752191,45.157411,438
38318591#5,7.751104,45.155836,438
37928261#1,7.553487,44.981546,432
37928261#1,7.552963,44.980792,432
37928261#1,7.553982,44.982318,432
37928261#1,7.554444,44.983102,432
37928261#1,7.554905,44.983885,432
39832525#0,7.581033,45.052341,427
39832525#0,7.579797,45.052389,427
39832525#0,7.583506,45.052244,427
39832525#0,7.582269,45.052293,427
39832525#0,7.577324,45.052486,427
39832525#0,7.584742,45.052196,427
39832525#0,7.578561,45.052438,427
51444648,7.630781,45.150278,424
51444648,7.627293,45.150791,424
51444648,7.624968,45.151133,424
51444648,7.631944,45.150108,424
51444648,7.633107,45.149937,424
51444648,7.62613,45.150962,424
51444648,7.629619,45.150449,424
51444648,7.628456,45.15062,424
79941693#8,7.547118,45.071591,422
37983095,7.690676,44.970452,417
37983095,7.693282,44.970702,417
37983095,7.694585,44.970826,417
37983095,7.689372,44.97033,417
37983095,7.691979,44.970575,417
69716801#1,7.561926,45.107574,416
69716801#1,7.564236,45.109531,416
69716801#1,7.563566,45.108819,416
69716801#1,7.560965,45.107056,416
69716801#1,7.564964,45.110205,416
69716801#1,7.562808,45.108155,416
69716801#1,7.559205,45.105892,416
69716801#1,7.560033,45.106514,416
37764932,7.543287,45.06496,410
37764932,7.544191,45.065708,410
79941693#7,7.54792,45.071613,409
23154530,7.704851,44.969712,408
