vehicle_edge,vehicle_longitude,vehicle_latitude,count
80631640#4,7.558819,44.988754,1282
239304403,7.567885,45.110058,1259
239304403,7.569655,45.109097,1259
239304403,7.57054,45.108617,1259
239304403,7.571394,45.108111,1259
239304403,7.56877,45.109578,1259
37983096,7.6785,44.97014,1246
37983096,7.680916,44.969972,1246
37983096,7.685752,44.970231,1246
37983096,7.683342,44.970014,1246
37983096,7.684547,44.970123,1246
37983096,7.688162,44.970448,1246
37983096,7.67731,44.97031,1246
37983096,7.686957,44.97034,1246
37983096,7.68213,44.969978,1246
37983096,7.676146,44.970553,1246
37983096,7.673838,44.971091,1246
37983096,7.679705,44.970031,1246
37983096,7.689366,44.970556,1246
37983096,7.674991,44.970819,1246
43159178,7.565177,45.090042,1200
43159178,7.564246,45.089297,1200
43159178,7.563316,45.088551,1200
450274968,7.583678,45.091278,1194
450274968,7.585596,45.088881,1194
450274968,7.586108,45.088028,1194
450274968,7.584496,45.090559,1194
450274968,7.585085,45.089734,1194
450274968,7.581621,45.092422,1194
450274968,7.586619,45.087175,1194
450274968,7.582654,45.091853,1194
314832638#2,7.796661,45.165634,1123
314832638#2,7.804846,45.169703,1123
314832638#2,7.805868,45.170213,1123
314832638#2,7.802803,45.168683,1123
314832638#2,7.803824,45.169193,1123
314832638#2,7.789483,45.162091,1123
314832638#2,7.80689,45.170723,1123
314832638#2,7.771103,45.152904,1123
314832638#2,7.793585,45.164116,1123
314832638#2,7.797686,45.166141,1123
314832638#2,7.790509,45.162597,1123
314832638#2,7.767009,45.150872,1123
314832638#2,7.788458,45.161584,1123
314832638#2,7.7762,45.155464,1123
314832638#2,7.769057,45.151887,1123
314832638#2,7.773144,45.153925,1123
314832638#2,7.79461,45.164622,1123
314832638#2,7.787433,45.161078,1123
314832638#2,7.765984,45.150365,1123
314832638#2,7.768033,45.15138,1123
314832638#2,7.800759,45.167663,1123
314832638#2,7.795636,45.165128,1123
314832638#2,7.781294,45.158028,1123
314832638#2,7.777219,45.155977,1123
314832638#2,7.786407,45.160572,1123
314832638#2,7.799737,45.167153,1123
