node_id,site_lat,site_long,site_name
900008,45.0443294,7.644987,Torino Via Tripoli
900009,45.0654379,7.6484213,Torino Via Perosa
900010,45.0714547,7.6073504,Torino Via Vandalino
900011,45.016862,7.6322114,Torino Via Pavese
900012,45.0292552,7.6862955,Torino Via all'Asilo
900014,45.0556958,7.6732579,Torino Via Sacchi
900015,45.0166777,7.6128946,Torino Strada del Drosso
900016,45.0740153,7.6581061,Torino Via Goffredo Casalis
900017,45.0270295,7.647068,Torino Telecom Via Sidoli
900018,45.0276689,7.6266742,Torino Corso G. Agnelli
900019,45.0814383,7.6610739,Torino Via San Donato
900020,45.0355042,7.6456452,Torino Via Sarpi
900021,45.0597379,7.6883855,Torino Corso Vittorio Emanuele II
900022,45.0676691,7.611672,Torino Via Chambery
900023,45.0687904,7.6999094,"Torino Via Santa Giulia, 60"
900024,45.0874737,7.7338093,Torino Strada del Meisino
900026,45.0925657,7.7084218,Torino Via Sempione
900027,45.1031414,7.663718,Torino Via Lucento
900028,45.0836035,7.6550281,Torino Corso Appio Claudio
900029,45.0729177,7.7139253,Torino Corso Chieti
900030,45.0892118,7.6839873,Torino Corso Vigevano
900031,45.079278,7.6496817,"Torino Corso Svizzera, 37"
900032,45.1178941,7.7081572,Torino Via Stefano Tempia
900033,45.0850693,7.6945044,Torino Telecom Via Novi
900034,45.0826694,7.6392247,Torino Corso Monte Grappa
900035,45.1065865,7.7268323,"Torino Strada Settimo, 153"
900036,45.100312,7.7268555,Torino Via Damiano Chiesa
900037,45.0700634,7.6180691,Torino Via Francesco De Sanctis
900038,45.0945219,7.6920307,Torino Via Leinì
900039,45.0547239,7.716086,Torino Strada Santa Margherita
900040,45.0759354,7.6229465,Torino Via L. Bellardi
900041,45.0672648,7.6878988,Torino Via San Francesco da Paola
900042,45.0619682,7.7068961,Torino Corso Quintino Sella
900044,45.0800795,7.6848845,"Torino Corso Giulio Cesare, 15"
900045,45.0374905,7.6709576,Torino Corso Spezia
900046,45.0791999,7.6751824,Torino Corso Principe Eugenio
900047,45.0478423,7.6800665,Torino Corso Massimo d'Azeglio
900048,45.0526165,7.6519789,"Torino Corso Adriatico, 20"
900050,45.0825601,7.6677489,Torino Telecom Via Don Bosco
900051,45.0951411,7.6617249,Torino Telecom Largo Borgaro
900052,45.0599029,7.6674621,"Torino Corso Galileo Ferraris, 71"
900053,45.0619406,7.6164594,Torino Telecom Via Challant
900054,45.1082905,7.6977646,Torino Corso Vercelli
900055,45.0657212,7.6403616,Torino Via Issiglio
900056,45.018994,7.6787922,"Torino Corso Moncalieri, 498"
900057,45.0730686,7.6715704,"Torino Corso Palestro, 20"
900059,45.0691851,7.6751979,Torino Telecom Via Mercantini
900060,45.1120758,7.6709726,"Torino Via Guglielmo Reiss Romoli, 274"
900062,45.0448128,7.6637933,Torino Corso Bramante
900063,45.0991343,7.7012715,Torino Telecom Monte Rosa
900064,45.0544473,7.6362153,Torino Via Gallarate
900065,45.1091406,7.6400377,Torino Juventus Stadium
900067,45.0983119,7.6676382,Torino Piazza Mattirolo
900068,45.069438,7.6268644,Torino Via Monte Ortigara
900070,45.0932921,7.671436,Torino Via Brin
900072,45.0471899,7.6183545,"Torino Strada del Barrocchio, 63/18"
900073,45.0963959,7.6801304,Torino Via Saorgio
900075,45.0707546,7.6627575,Torino Via Cavalli
900076,45.0891906,7.6784721,Torino Via Antonio Cecchi
900079,45.1089964,7.6412146,Torino Juventus Stadium Ovest
900082,45.1098501,7.6418744,Torino Juventus Stadium Est
900085,45.0244539,7.6153171,Torino Corso Agnelli
900086,45.0801501,7.7325226,Torino Strada Traforo
900087,45.0569976,7.7045573,"Torino Strada Santa Margherita, 136"
900088,45.0717178,7.6420601,"Torino Via Capriolo, 18"
900090,45.0681849,7.6912659,Torino RAI Via Verdi
900091,45.0611677,7.6392925,Torino Telecom Via Lancia
900094,45.0289124,7.6632763,Torino Lingotto Fiere
900095,45.1179532,7.7428319,"Torino Strada di Settimo, 352"
900098,45.0692782,7.7071179,Torino Piazzale Regina Margherita
900101,45.102729,7.7372112,Torino Strada Bertolla
900102,45.0435948,7.7036336,Torino Strada Antica di Revigliasco
900104,45.0873154,7.7071253,Torino Via Bologna
900106,45.0277773,7.6639026,Torino Via Nizza
900107,45.1952019,7.5754796,Robassomero Via Torino
900109,45.0658272,7.6826017,Torino Via Lagrange
900111,45.0344147,7.6667947,Torino Via Nizza
900114,45.0555982,7.6827677,Torino Via Ormea
900115,45.0447079,7.6812451,Torino Corso Galileo Galilei
900133,45.1216121,7.6552994,Torino Strada Lanzo
900140,45.0846215,7.5845171,Collegno Metropolitana di Torino
900141,44.9998299,7.5066811,Rivalta di Torino Via I Maggio
900147,45.0693478,7.6882812,Torino Via Po
900165,45.0104411,7.6850368,Moncalieri Strada Torino
900167,45.0512358,7.6674327,Torino Corso Filippo Turati
900194,45.0788361,7.5755681,Collegno Via Torino
900198,45.0762775,7.6637023,Torino Metropolitana
900214,44.9059124,8.1861394,Asti Corso Torino
900232,45.068192,7.6818481,Torino Piazza San Carlo
900250,44.9957595,7.6481757,Nichelino Via Torino
900259,44.885432,7.3349201,Pinerolo Telecom Corso Torino
900283,44.8904962,7.3489651,Pinerolo Viale Grande Torino
900286,45.1118078,7.6449395,Torino Via Druento 137
900315,45.0417606,7.6493301,Torino Stadio Olimpico
900316,45.015459,7.5669029,Orbassano Strada Torino
900327,45.0720727,7.6757932,Torino Corso Siccardi
900328,45.0414986,7.6517722,Torino
900329,45.0278712,7.5254129,Rivalta di Torino Viale Vif
900330,45.0769055,7.6098612,"Torino Corso Francia, 426"
900336,45.0918907,7.678564,"Torino Via Stradella, 20"
900337,45.0204295,7.6479968,Torino Via Duino
900339,45.0659083,7.6833409,Torino Via Lagrange Rinascente
900344,45.0338733,6.8341497,Oulx Corso Torino 15
900351,45.1744734,7.6486333,Caselle Torinese Via Torino
900356,45.1063696,7.6827003,Torino Via Cerrione
900357,45.0400522,7.5573611,Rivalta di Torino Loc. Dojrone
900358,45.0737818,7.6841795,Torino Piazza San Giovanni
900359,45.1053102,7.6534696,"Torino Corso Grosseto, 349"
900360,45.0775162,7.6966038,Torino Via Mantova
900361,45.0394528,7.6732687,Torino Via Cherasco
900369,45.0548535,7.6584483,Torino Corso Alcide de Gasperi
900370,45.0928977,7.6990588,Torino Via Cherubini
900372,45.0319467,7.6653801,Torino Via Nizza
900373,45.0736294,7.7249017,Torino Corso Cadore
900376,45.0218872,7.6628347,Torino Via Nizza
900393,45.0354334,7.6543652,Torino Via Tunisi
900402,45.1297617,7.6916641,Torino Strada Comunale del Villaretto
900405,45.0696772,7.6630623,Torino Corso Inghilterra
900412,45.1151154,7.6619129,Torino Via Quincinetto
900413,45.0339546,7.6849378,"Torino Viale XXV Aprile, 6/A"
900414,45.0549812,7.6949118,"Torino Corso Giovanni Lanza, 78"
900420,45.1328744,7.7106278,"Torino Via degli Ulivi, 17"
900439,45.1290469,7.6700966,"Torino Strada del Francese, 152"
900440,45.0810192,7.4989387,Rivoli A32 Torino Bardonecchia
900457,45.0639334,7.6602462,Torino Corso Castelfidardo
900459,45.074937,7.7449042,Torino Strada Traforo del Pino
900467,45.0692496,7.6750089,Torino Via Mercantini
900468,45.0638082,7.7004523,Torino Corso Casale
900476,45.0634348,7.6309166,"Torino Corso Monte Cucco, 125"
900486,44.9275221,7.8353239,Poirino Via Torino
900488,45.0722124,7.6933495,Torino Via Rossini
900489,45.0368524,7.6813638,"Torino Corso Moncalieri, 259"
900491,45.1052187,7.6714254,Torino Corso Grosseto
900501,44.426366,7.5572432,Cuneo Via Torino
900515,44.9848621,7.73768,"Trofarello Via Torino, 33"
900532,45.0658149,7.6897693,Torino Piazza Carlo Emanuele II
900533,45.0648183,7.6956613,Torino Piazza Vittorio Veneto
900534,45.0783615,7.6811088,Torino Via G. Cottolengo
900540,45.0849602,7.6791855,Torino Strada del Fortino
900541,45.2252872,7.6062841,Ciriè Via Torino
900544,45.0588371,7.6495202,Torino Via Osasco
900553,44.8910452,7.3794903,Pinerolo Riva Corso Torino
900560,45.0760893,7.6633282,Torino Corso Francia
900581,45.0645506,7.6777585,Torino Via Volta
900597,45.0788976,7.636821,"Torino Corso Monte Grappa, 33"
900606,45.087015,7.6689942,Torino Via Livorno ang. Via Treviso
900607,45.0469258,7.6393287,Torino Corso Sebastopoli
900618,45.087742,7.6879976,Torino Via Pinerolo
900630,45.068006,7.6526265,Torino Via Moretta
900655,45.0734228,7.6991673,Torino Università
900659,45.03343,7.6338193,Torino Via Nallino ang. Corso Siracusa
900665,45.0946438,7.6622537,Torino Via Borgaro
900697,45.0560294,7.6645989,Torino Corso Galileo Ferraris
900716,45.6001456,8.2880454,Roasio Via Torino
900744,45.0236487,7.6691078,Torino Via Ventimiglia
900749,45.0416761,7.6518834,Torino
900824,45.0998496,7.3587895,Sant'Ambrogio di Torino Via Sestriere
900846,45.2680994,7.7564235,Bosconero Cimitero Via Torino
900853,45.1907161,7.8729387,Chivasso Stradale Torino
900858,45.0640633,7.684084,"Torino Via Andrea Doria, 15"
900862,45.0502184,7.6597924,"Torino Corso Galileo Ferraris, 158"
900863,45.1013928,7.677838,"Torino Via Coppino, 96"
900864,45.102018,7.6957754,Torino Via Porpora
900865,45.0742597,7.6390053,Torino Via Rubiana
900870,45.0612772,7.6743002,"Torino Corso Stati Uniti, 7"
900876,45.0530991,7.6788028,Torino Via Valperga Caluso
900877,45.0496019,7.6332583,Torino Corso Sebastopoli
900878,45.0902113,7.6949284,Torino Via Monterosa
900879,45.0596545,7.6618796,"Torino Corso Einaudi, 43"
900880,45.071283,7.6781983,"Torino Via Bertola, 34"
900892,45.0085879,7.6476781,Torino Strada Castello di Mirafiori
900897,45.1008447,7.6831142,Torino Via Coppino
900902,45.0397331,7.6577263,Torino Via Tunisi
900903,45.0659346,7.695703,Torino Via Matteo Pescatore
900904,45.0734274,7.6806923,Torino Piazza Palazzo di Città
900906,45.0419569,7.6702636,"Torino Piazza Giosuè Carducci, 130"
900907,45.0698123,7.6861971,Torino Piazza Castello
900912,44.848468,7.4976116,Vigone Via Torino
900914,45.0518787,7.6469236,Torino Via Tripoli
900922,45.0601954,7.6451559,Torino Piazza Robilant
900925,45.0522377,7.6758667,Torino Corso Raffaello
900926,45.0510551,7.6382859,Torino Via Mombasiglio
900927,45.0869264,7.6541721,Torino Corso Regina Margherita
900928,45.0742389,7.6509585,Torino Via Mocchie
900929,45.0757482,7.6782574,Torino Via della Consolata
900932,45.0804845,7.6907785,Torino Via Bologna
900933,45.1117212,7.6708593,Torino Via Reiss Romoli
900935,45.0786077,7.6565792,Torino Corso Tassoni
900941,45.0659752,7.6801864,Torino Via Amendola
900955,45.0366526,7.6515632,"Torino Corso Unione Sovietica, 211"
900956,45.064017,7.6950409,Torino Via Bonafous
900969,45.1058074,7.6784719,Torino Telecom Via Orbetello
900970,45.0752073,7.7299433,Torino Piazza Pasini
900972,45.13435,7.7619397,Settimo Torinese Via Torino
900981,45.0747616,7.6296643,"Torino Corso Francia, 257"
900983,45.1090551,7.6600792,Torino Via Venaria
900990,45.0239928,7.6557058,Torino Corso Caio Plinio
901006,45.0428895,7.6750333,Torino Via Ormea
901008,45.0461879,7.6731121,"Torino Via Ilarione Petitti, 18"
901017,45.0663256,7.714563,"Torino Via Montemagno, 34"
901021,45.0537443,7.7021106,Torino Viale Enrico Thovez 40
901029,45.0789547,7.6627077,"Torino Via Cibrario, 33"
901030,45.0808118,7.6282551,Torino Corso Telesio
901036,45.0312816,7.6648873,Torino Via Nizza
901040,45.0685882,7.6698473,Torino Corso Matteotti
901041,45.0710958,7.6842403,"Torino Piazza Castello, 139"
901049,45.1067316,7.6296982,Torino Via delle Pervinche
901050,45.0832607,7.7035516,Torino Via Quittengo
901061,45.0679985,7.6652151,Torino Corso Vittorio Emanuele II
901065,45.0624685,7.6677742,Torino Corso Stati Uniti
901092,45.034262,7.6201215,"Torino Corso Orbassano, 378"
901095,45.0287461,7.6426534,"Torino Corso Unione Sovietica, 341"
901105,45.1779415,7.8411052,Brandizzo Via Torino
901107,45.0602853,7.6811746,Torino Via Galliari
901117,45.0142514,7.6249632,Torino Corso Unione Sovietica
901120,45.0639397,7.6745981,Torino Corso Vittorio Emanuele II
901131,45.0761928,7.6433165,Torino Corso Lecce
901132,45.0955601,7.6734601,Torino Via Stradella
901134,45.0425176,7.6480746,Torino Corso Agnelli
901135,45.0115395,7.6362853,Torino Strada delle Cacce
901136,45.0627733,7.6807932,Torino Via Lagrange
901137,45.0213892,7.625253,Torino Via Biscaretti di Ruffia
901138,45.1109321,7.6851903,Torino Via Guglielmo Reiss Romoli
901153,45.0752278,7.6693071,Torino Corso San Martino
901165,45.1010853,7.6557663,"Torino Piazza Nazario Sauro, 12"
